username	firstChoice	secondChoice	thirdChoice	fourthChoice	fifthChoice	sixthChoice	seventhChoice	peer1	peer2	peer3	peer4	form	lens	teacherWt	interestWt	peerWt	spacer
asokn558	Colleen Macklin	Chris Romero	David Carroll	Marko Tandefelt	Anezka Sebek	Aneta Genova	Jess Irish	byrdt279	pages	jung235	choy311	"Installation, Data Visualization, Product"	"Critical Designer, Educator, Professional Designer"	4 points	3 points	3 points	
yuy325	David Carroll	Anezka Sebek	Marko Tandefelt	Chris Romero	Colleen Macklin	Jess Irish	Aneta Genova					App / Program	Professional Designer	3 points	2 points	1 point	
yangc901	Jess Irish	Anezka Sebek	Aneta Genova	David Carroll	Marko Tandefelt	Colleen Macklin	Chris Romero					"Art work, Installation"	Artist	3 points	5 points	2 points	
byrdt279	Colleen Macklin	Anezka Sebek	Aneta Genova	Marko Tandefelt	David Carroll	Chris Romero	Jess Irish	asokn558	burka186	bonnl287	mustw826	"Game, Film, Web"	"Artist, Critical Designer, Entrepreneur"	4 points	2 points	4 points	
mahau289	Marko Tandefelt	Chris Romero	Anezka Sebek	Jess Irish	Colleen Macklin	David Carroll	Aneta Genova	boehk215	henrt555	parar943	dothh489	"Installation, Performance, VR / AR"	"Artist, Critical Designer, Educator"	4 points	2 points	4 points	
boehk215	Marko Tandefelt	Chris Romero	Anezka Sebek	Jess Irish	Colleen Macklin	David Carroll	Aneta Genova	mahau289	henrt555	parar943	dothh489	"Installation, Performance, VR / AR"	"Artist, Critical Designer, Educator"	4 points	2 points	4 points	
chens125	David Carroll	Marko Tandefelt	Colleen Macklin	Jess Irish	Aneta Genova	Anezka Sebek	Chris Romero	syamu557	jung235	rezas630	randj063	"Garment / Wearable, App / Program, Product"	"Academic Researcher, Entrepreneur, Professional Designer"	4 points	4 points	2 points	
leeg375	Colleen Macklin	Chris Romero	Anezka Sebek	Jess Irish	Aneta Genova	Marko Tandefelt	David Carroll	pub598	leeg375	choy311	weij540	"Game, App / Program, Web"	"Artist, Entrepreneur, Professional Designer"	4 points	4 points	2 points	
villk768	Chris Romero	Anezka Sebek	Marko Tandefelt	David Carroll	Aneta Genova	Jess Irish	Colleen Macklin					"Animation, Art work, Film"	"Artist, Educator, Professional Designer"	5 points	4 points	1 point	
shehl044	Chris Romero	Anezka Sebek	Marko Tandefelt	David Carroll	Aneta Genova	Jess Irish	Colleen Macklin	dothh489	henrt555	rezas630	boehk215	"Art work, Garment / Wearable, Installation"	"Activist, Artist, Critical Designer"	4 points	4 points	2 points	
zhany420	Chris Romero	David Carroll	Jess Irish	Anezka Sebek	Marko Tandefelt	Aneta Genova	Colleen Macklin					"Animation, Film, Installation"	"Artist, Film"	3 points	5 points	3 points	
